"idx","Title of the Solution","Description of the solution","Links to the solution","SDG(s)","Tags for the solution","Type of the Solution","Who lead the solution","Location","Other Notes","Images"
"146","Light Colored Cooling Roofs","Light-colored reflective roofs, another alternative to green roofs, can effectively cool interiors by redirecting sun rays and decreasing heat absorption. Examples include roofs with sheet coverings, reflective tiles or shingles, or reflective paint. Mediterranean or the Middle East show a townscape of light-colored buildings with white roofs. These have been traditional architectural characteristics for thousands of years – and these roofs are in fact cool roofs. Although cool roofs are one of the most cost-effective ways to reduce indoor temperatures in summer.","https://aus.sika.com/en/knowledge-hub/cool-roofs-and-energy-efficiency.html","11, 13","Environmental Design, Energy efficiency, Cool roof system, Reduce the heat island ","Infrastructural","Local Government","Qatar, Doha, Mediterranean, Middle East","Government institutions in Doha
University of Qatar, Doha with traditional Arab wind towers and vierendeel beams.
Manycon Trading and Contracting Company WLL  - Keep Your Building Cool with Thermal Cool Roofing:
https://www.manyconqatar.com/services/keep-your-building-cool-with-thermal-cool-roofing.html","https://acclabplatforms.blob.core.windows.net/pads/media/image182.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image183.png"
"147","Indoor and Courtyard Pools at Pearl Academy","The Pearl Academy in Jaipur, India uses water and traditional design for cooling. The building includes a sunken courtyard pool, which architect Manit Rastogi explains functions similarly to a basement, staying cooler than the above ground air in the summer and warmer in the winter, breezes flowing under the raised building create evaporative cooling currents that push air up through atria and open stair wells. The building also features an exterior latticed screen (Jaali) enveloping the building and provides a thermal buffer for buldings. The academy is constructed using a mix of local stone, steel, glass and concrete, keeping in mind the climatic needs of the region while retaining the progressive design intent. With energy efficiency being a prime concern, the institute is 100% self-sufficient in terms of captive power and water supply, and promotes rainwater harvesting and wastewater re-cycling through the use of a sewage treatment plant.","https://www.designcurial.com/news/morphogenesis-designs-pearl-academy-of-fashion-in-jaipur-city","11, 13","Environmental design indoor and courtyard pools, Energy efficiency, Natural cooling, passive cooling strategies, Employment of air conditioning systems that cool the building sustainably","Innovative","Community Led","India,  Jaipur","Architect Manit Rastogi at Morphogenesis in New Delhi area","https://acclabplatforms.blob.core.windows.net/pads/media/image184.png,https://acclabplatforms.blob.core.windows.net/pads/media/image185.png,https://acclabplatforms.blob.core.windows.net/pads/media/image186.png"
"148","Recycling Plastic into Shading and Insulation","Discarded plastic packaging can be recycled  into sheets and insulation boards. These provide shading, reflect solar radiation and insulate dwellings from heat. CBalance also takes used plastic bottles and turns them into heat-control systems. The bottles are filled with water, sealed and secured to a roof. There, they absorb the heat from the sun and increase the roof’s thermal mass (ability of a material to absorb, store and release heat). This lowers the rate at which heat enters the building below. Overnight, the water in the bottles cools down, and next morning the process restarts.","https://www.thethirdpole.net/en/climate/5-sustainable-cooling-solutions-tackle-extreme-heat-south-asia-2","9, 11, 13","Recycling techniques, Sustainable cooling systems, Using plastic bottles and turning them into heat-control systems","Recyclable","Community Led","India, Pune","cBalance Solutions Pvt. Ltd.","https://acclabplatforms.blob.core.windows.net/pads/media/image187.png,https://acclabplatforms.blob.core.windows.net/pads/media/image188.png"
"149","Efficient use of Air Conditioning and use of Artificial Shading","Efficient use of air conditioning to reduce costs and global warming. Therefore it should be particular emphasis on using natural ventilation, artificial shading and vegetation cover to ensure that air conditioning use is significantly lowered.","https://www.weforum.org/agenda/2022/08/ways-to-cool-cities-and-avoid-urban-heat-islands","9, 11, 13","Energy Efficiency, Sustainable cooling system, Strategies to cope with the heat, Mitigating the effects of climate change","Technological","Community Led","Singapore"," Singapore Management University's
Additionally, district cooling network will be installed on the rooftops of public-housing blocks in Singapore’s cities.","https://acclabplatforms.blob.core.windows.net/pads/media/image189.png"
"150","Urban Planning and Design Innovations -The Singapore Model","The move towards science-based policies in reducing urban heat risks has led to research from Singapore Universities called Cooling Singapore Initiative which started in 2017.","https://www.weforum.org/agenda/2022/08/ways-to-cool-cities-and-avoid-urban-heat-islands","9, 11","Urban planning, Tackling extreme heat, Ensuring the urban resilience ","Innovative","Community Led","Singapore","Singapore Universities 
Among the push towards more 'green' buildings and the implementation of the Singapore Green Plan 2030, this is a move towards science-based policies in reducing urban heat risks. Scientists in several universities in Singapore have been leading research into the Cooling Singapore Initiative since 2017.","https://acclabplatforms.blob.core.windows.net/pads/media/image190.png"
"151","Early Warning from Meteriological Agencies","Early warnings from meteriological agencies might be tied to enhanced health infrasture to ensure elderly or medically vulnerable people have access to medical treatment or shelter and there may be work stoppages for outdoor construction workers when hetawaves occur.","https://www.weforum.org/agenda/2022/08/ways-to-cool-cities-and-avoid-urban-heat-islands/","3, 11","Reducing proactively risks from heat islands, Building heat resilience, National heat-health warning systems","Innovative","Community Led","Singapore","Meteorological Service Singapore (MSS)","https://acclabplatforms.blob.core.windows.net/pads/media/image191.png"
"152","Porches","The porches shield the front of a house from sunlight. This not only keeps the house cooler but also avoids the harmful UV rays from getting in. The right positioning of porches not only provides shade in the summer but also encourages cross-ventilation through the house.","https://www.re-thinkingthefuture.com/sustainable-architecture/a4190-how-to-keep-buildings-cool-without-air-conditioning/","9, 11","Design Innovation, Ventilation Cooling, Sustainable cooling method, Cost-effective way","Innovative","Community Led","USA; Canada","","https://acclabplatforms.blob.core.windows.net/pads/media/image192.jpeg"
"153","Cathedral or Domed and High ceiling","The Cathedral and Doomed ceiling are ideal for tropical climate becaus it would allow the hot air to rise cause its lighter than cool air and the cold air will flow through the house. It is a fact that high ceilings give more volume to a building for fresh air to circulate. The cool air will always be on below, while the hot air will rise. 
","https://www.decorativeceilingtiles.net/blog/heres-how-to-choose-the-best-ceiling-for-your-climate/","9, 11","Materials and design Innovation, Use of  natural air circulation, Natural Cooling","Innovative","Community Led","Vatican City, Italy; Brasília, Brazil ","","https://acclabplatforms.blob.core.windows.net/pads/media/image193.png,https://acclabplatforms.blob.core.windows.net/pads/media/image194.png"
"154","UV blocking Glass","Normal glasses will let sunlight in and the harmful UV rays with them. For hot climates having a window that block down the UV rays while cutting down the heat gain will keep your interiors much cooler.","https://www.re-thinkingthefuture.com/sustainable-architecture/a4190-how-to-keep-buildings-cool-without-air-conditioning/","9, 11","Materials design, Cooling techniques, Energy efficient","Technological","Community Led","Riyadh,  Saudi Arabia ","Hottest countries closest to the equator; Saudi Arabia, Kuwait and I raq use the UV blocking glass in their houses.

https://medium.com/@zouqalkhayal/10-window-glass-types-to-transform-your-home-4fabe19ff8ed","https://acclabplatforms.blob.core.windows.net/pads/media/image195.jpeg"
"155","Adaptive Comfort Models","Adaptive comfort models, such as desrcibed in ASHRAE 55-2013 and ISO 7730, account for variations in human behaviour throughout the year to outdoor elements prior entering the building","https://cppwind.com/natural-cooling-strategies/","11","Adopting comfort models, Establishing natural cooling strategies","Behavioural","Community Led","Atlanta, USA ","The American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE) is an American professional association seeking to advance heating, ventilation, air-conditioning and refrigeration (HVAC) systems design and construction. It has over 5000 members in more than 130 countries worldwide.

https://www.sciencedirect.com/science/article/abs/pii/S0360132318301884","https://acclabplatforms.blob.core.windows.net/pads/media/image196.png"
"156","Aquifer Thermal Energy Storage (ATES)","ATES is the storage and recovery of thermal energy underground. ATES is applied to heat and cool buildings. More than 30% of Germany's final energy consumption currently results from thermal energy for heating and cooling in the building sector. One possibility to achieve significant greenhouse gas emission savings in space heating and cooling is the application of aquifer thermal energy storage (ATES) systems.","https://www.energy.gov/eere/buildings/articles/bio-based-phase-change-materials-pcm-thermal-energy-storage","7, 9, 13","Switching to thermal energy, Energy efficiency, Renewable energy, Innovative sustainable cooling solution","Technological","Community Led","North German Basin, Germany; Upper Rhine Graben, Germany; South German Molasse Basin, Germany","Bundesverband Geothermie 
(Federal Geothermal Association)","https://acclabplatforms.blob.core.windows.net/pads/media/image197.jpeg"
"157","Heat Action Plans","The Heat Health Action Plan (HHAP) was finalized and adopted by the Government of Macedonia. Heat Action Plans can be done by establishing a heat monitoring system, informative campaigns, the mobilization of health care professionals, volunteers, social workers and trained caregivers in the surveillance and management of individuals with known vulnerabilities or stand alone. ","https://climate-adapt.eea.europa.eu/en/metadata/case-studies/implementation-of-the-heat-health-action-plan-of-the-former-yugoslav-republic-of-macedonia","11","Creating heat action plans, Climate Change Health Adaptation Strategy and Action Plan","Behavioural","Community Led","Macedonia","Government of Macedonia","https://acclabplatforms.blob.core.windows.net/pads/media/image198.png"
"158","Education and Awareness Campaigns","Both India and Pakistan have successful heat-health early warning systems and action plans already in place, including those specially tailored for urban areas. Multi-pronged heat actions are highly effective in reducing heat related mortality and morbidity especially among vulnerable populations such as the elderly and those with chronic conditions. Heat action plans must be cost-effective, easy to mantain, ideally should not rely on a mass effort of people and should be specifically structured to meet the local needs and resources of the community.","https://news.un.org/en/story/2022/04/1117272","3, 11","Adopting multi-pronged heat actions, Managing heat-related health risks, Strategies against heat-health risks","Behavioural","Community Led","India; Pakistan","WMO 
The city of Ahmedabad in India was the first South Asian city to develop and implement a city-wide heat health adaptation, in 2013.","https://acclabplatforms.blob.core.windows.net/pads/media/image199.png"
"159","The Cool Coalition","The Cool Coalition is a global network connecting over 80 countries and is working towards a rapid global transition to efficient and climate-friendly cooling. Community members can join the coalition to get ideas on how to cool their communities.","https://www.unep.org/news-and-stories/story/cities-can-fight-climate-change-and-improve-lives-finding-new-ways-be-cool","9, 11, 13","Taking part in cooling Coalition,  Climate-Friendly Cooling strategies for all","Innovative","Community Led","North Macedonia; Rwanda; Senegal; Spain; Dominican Republic","Cool Coalition
https://coolcoalition.org/about/what-we-do/","https://acclabplatforms.blob.core.windows.net/pads/media/image200.png"
"161","Restoring Streams","In Seoul, South Korea, an effort was done to restore the Cheonggyecheon stream that runs through the city and the community replaced the 5.8 km of elevated expressway covering the stream with a mixed-use waterfront corridor. The waterfront corridor reduces the urban heat island effect with temperatures along the stream 3.3° to 5.9°C cooler than on a parallel road 4-7 blocks away.","https://settingmind.com/how-a-highway-in-korea-was-restored-back-into-a-river/#:~:text=The%20Cheonggyecheon%20Stream%20Restoration%20Project,a%20highway%20for%20several%20decades.","11, 13","Restoring streams, Decreasing temperature efficiently, Mitigation of climate change, Cooling solution","Innovative","Local Government"," Seoul, South Korea ","Government of South Korea
https://www.landscapeperformance.org/case-study-briefs/cheonggyecheon-stream-restoration-project","https://acclabplatforms.blob.core.windows.net/pads/media/image201.jpeg"
"162","Green Corridors","In Medellin, Colombia, green corridors were created that follow and restore the geography of the area prior to recent development. From 2016 to 2019, the city created 36 corridors, 18 along major roads and 18 along waterways, covering over 36 hectares. The areas with green corridors have already seen temperature reductions of up to 4 degrees celsius. These Green Corridors provide Medellín with a host of ecosystem services: they help to reduce average city temperatures by 2°C, enable carbon uptake via plant growth, capture particulate matter (PM2.5) to improve air quality, and increase urban biodiversity thanks to creation of more wildlife-friendly habitats. These rapid effects demonstrate why nature-based solutions are rapidly increasing in popularity in the field of sustainable urban design. The Green Corridors project also won the 2019 Ashden Award for Cooling by Nature – watch the video below to hear more about the project from the city’s mayor.","https://www.c40knowledgehub.org/s/article/Cities100-Medellin-s-interconnected-green-corridors?language=en_US","9, 11, 13","Creating green corridors, Reducing greenhouse gas emissions and climate risks, Climate change project, Mitigate temperatures","Natural cooling","Local Government","Medellín, Colombia","Government of Colombia","https://acclabplatforms.blob.core.windows.net/pads/media/image202.jpeg"
"163","Cooling Centers","Cooling centers can provide a cool environment to those who cant afford the electricity cost of air-conditioning. Cooling Centres are commonly used across the US. They are relatively low-cost strategy that can utilize existing infrastructure and personnel and be relatively implemented by a variety of stakeholders. Their use has a high biological plausibility for reducing heat-related illness and death. A cooling center is a location, typically an air conditioned or cooled building that has been designated as a siste to provide respite and safety during extreme heat. This may be government-owned building such as library or school, an existing community center, religious center, recreation center, or private  business such as coffee shop, shopping mall, or movie theatre. Some countries have set up cooling sistes outdoors in spray parks, community pools, and public parks. Sometimes temporary cool spaces are constructed for events as a marathon or outdoor concert. Implementation is done by different groups e,g health department, city government, non-profit groups, combination of agencies or partners.","https://www.cdc.gov/climateandhealth/docs/UseOfCoolingCenters.pdf","9, 11, 13","Initiating cooling centers, Climate and health technical project, tackling extreme temperatures","Technological","Local Government","France, Europe; Canada; New York, USA; Carlifonia, USA; Pennyslavia, USA; Arizona, USA; Maricopa, USA","A cooling center is a location, typically an air-conditioned or cooled
building that has been designated as a site to provide respite and safety during extreme
heat. This may be a government-owned building such as a library or school, an existing
community center, religious center, recreation center, or a private business such as a
coffee shop, shopping mall, or movie theatre. Some counties have set up cooling sites
outdoors in spray parks, community pools, and public parks. Sometimes temporary cool
spaces are constructed for events such as a marathon or outdoor concert. 

4 ways Europe is tackling extreme temperatures:
https://www.politico.eu/article/4-ways-europe-is-preparing-for-the-next-heat-waves/ ","https://acclabplatforms.blob.core.windows.net/pads/media/image203.png"
"164","Monitoring Street Level Heat","As part of the research GAF (waterproofing manufacturer) installed two roof-level weather stations in the neighbourhood which monitored a wide range of actors, including humidity, wind direction and incoming solar radiation. To monitor streel-level heat, a specially adapted golf cart with sensors travelled around the block and satellite technology and drones were displayed to test how effective the new surface coatings were. The coating project worked closely with community at every stage of the project. Community meetings were held. ","Https://www.forbes.com/sites/jamiehailstone/2022/08/01/if-heatwaves-are-the-new-normal-how-can-we-cool-our-cities-down","9, 11, 13","Coating public places with paint, Surface coating, Climate change action, Evaluation of the cooling solution results","Infrastructural","Community Led"," Pacoima Block, USA ","","https://acclabplatforms.blob.core.windows.net/pads/media/image204.png"
"165","Skill Development of Households","MHT  in India has local community workers that train the household to paint their own cool roof. This saves the labor costs and builds the household's capacity by learning the skill.","https://www.nrdc.org/bio/anjali-jaiswal/cool-roofs-community-led-initiatives-four-indian-cities","9, 11, 14","Training communities on heat effects, Indian Cooling Action Plan, Innovative simple cooling solution, Enhancing community awareness ","Behavioural","Community Led","Jodhpur, India; Bhopal, India; Surat, India; Ahmedabad, India","","https://acclabplatforms.blob.core.windows.net/pads/media/image205.png"
"166","Creation of Grassroots Groups","Chispa Arizona, a grassroot group is organised and directed by Masavi Perea a construction worker. The grassroot group fights for clean air, water, healthy neighbourhoods and climate action in Latino communities. One of his top priorities is to protect the people in West and South Phoenix who are likely to suffer, get sick and even die from extreme heat. Phoenix does have protocols in place for when extreme heat hits, and was the first city in the country to fund an Office of heat response and mitigation.","https://publicintegrity.org/environment/hidden-epidemics/dangerous-heat-illness-unequal-consequences/","3, 9, 11, 13","Creating grassroot groups for heat effects, Creating long-term solutions, Coping with climate change","Behavioural","Community Led","Phoenix, USA","Chispa Arizona","https://acclabplatforms.blob.core.windows.net/pads/media/image206.png"
"167","Simple-Low-Budget Steps","At an individual level, people can keep their homes cooler by taking simple, low-budget steps, like using foam tape to seal gaps around doors, or making larger renovations, like installing insulation. At community level neighbors can check in on one another, paying particular attention to the elderly or those who might not have as many social levels.","https://www.dallasnews.com/news/2022/11/10/a-phoenix-nonprofit-taught-residents-how-to-handle-the-extreme-heat-heres-how-it-went/","9, 11","Adopting individual solutions for heat effect, Equal opportunities to cope with the heat, Cooling solution, Financial support on climate action","Behavioural","Community Led","Phoenix, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image207.png"
"168","Expanding the Warning System","Expanding the warning system that lets residents know the extreme heat is imminent and offering first aid training so they could recognize the signs of heat exhaustion and heat stroke to help each other. When trying to protect people from extreme heat, there is need to drill down to the local level in order to do effective interventions. Some of the solutions, in the West Phoenix neighborhood, people proposed included: adding shaded walkways for common routes along with water fountains, expanding the warning system that lets residents know extreme heat is imminent, and offering first aid training so they could recognize the signs of heat exhaustion and heat stroke to help each other.","https://www.preventionweb.net/news/heat-wave-grips-us-lessons-hottest-city-america","11","Expanding hot weather warning systems, Shaded walkways, Strategies for avoiding heat risks, Aid training to cope with the heath","Technological","Community Led","Phoenix, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image208.png,https://acclabplatforms.blob.core.windows.net/pads/media/image209.png"
"169","Community Engagement and Self-Advocation","In Phoenix, residents were able to mark children's routes to school and bus stops that people without cars rely on most, so the group could prioritize where to plant trees and build shade structures.","https://www.preventionweb.net/news/heat-wave-grips-us-lessons-hottest-city-america","9, 11","Engaging locals on solutions, Protecting childs, Protecting people from extreme heat, Building of shade structures","Behavioural","Community Led","Phoenix, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image210.png,https://acclabplatforms.blob.core.windows.net/pads/media/image211.png"
"170","Urban Heat Leadership Academy","Urban Heat Leadership Academy is a programme run by the Nature Conservancy and the Phoenix Revitilization Corporation and a local non-profit. The Academy is a five-month program that meets roughly twice a month and teaches Phoenix residents about how to address the urban heat island effect. It also connects them with academics researching solutions andlocal government officials responsible for managing the problem. The goal of the Urban Heat Leadership Academy is that residents learn how to hold the city accountable, advocate for themselves, and implement their own solutions.","https://www.phoenix.gov/oepsite/Documents/Agenda%20Item%206%20NCS_PP%20020220_ab.pdf","11","Adopting community-based cooling solutions, Creating cooling solutions, Communicating at the community level","Behavioural","Community Led","Phoenix, USA","Nature Conservancy and Phoenix Revitilization Corporation","https://acclabplatforms.blob.core.windows.net/pads/media/image212.png"
"171","Adopting Cooling Solutions","For communities to quickly adopt cooling solutions they should be presented to them by one of the community members. A good example is the people at risk in Phoenix Metropolitan area.who ere convinced by Masavi Perea to adopt solutions presnted to them by the Nature Conservancy, Arizona State University and city and county officials.","https://www.tripsavvy.com/summer-in-phoenix-4136591#:~:text=The%20best%20way%20to%20cool,adventure%20down%20nearby%20Salt%20River.","11","Training communities to self-advocate on cooling solutions, Creating cooling solutions, Communicating at the community level","Behavioural","Community Led","Phoenix, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image213.png"
"172","Tube with Salt River Tubing","One of the most popular ways to cool down in the valley of the sun is to go on a tubing adventure down nearby Salt Water River. Most people in Phoenix choose to tube with Salt River Tubing, which provides floatation devices and transportation futher upriver to begin the three-hour floating journey. The water is usually cool and clear, providing a refreshing respite from the hot desert sun.","https://www.tripsavvy.com/salt-river-tubing-2682270","11","Salt water Tubing Adventure, Cooling solution, Alternative to cool down, Avoiding heat","Behavioural","Community Led","Phoenix, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image214.png"
"173","UV Smart Cool Playground Project","In March 2020, Cumberland City Council partnered with Western Sydney University (WSU) to research and develop innovative ways to make playgrounds safer for families and children during hot weather. It involved re-troffing emorial Park playground at Merrylands to improve thermal comfort and reduce ultraviolet radiation (UV). The project demonstrates a cost-effective method to retrofit existing playgrounds to be UV safe and heat smart. Cost savings will be realised through the modular construction of the shade, structure that can be relocated to and adjusted for the next playground once the newly planted trees provide shade.","https://www.cumberland.nsw.gov.au/uv-smart-cool-playground-project","11","Playground Creation","Natural Cooling","Community Led","New South Wales, Australia ","Cumberland City Council and Western Sydney University (WSU)","https://acclabplatforms.blob.core.windows.net/pads/media/image215.png,https://acclabplatforms.blob.core.windows.net/pads/media/image216.png"
"174","Human Made Wetlands","Urban wetlands, especially for cooler cities are important. Urban planners and policy-makers can focus on mainstreaming the ecosystem services provided by urban wetlands in mitigating urban heat island effect by: including urban wetlands andtheir ecosystem services in the assessment and planning of Urban Heat Island Mitigation. Engaging local residents, community based organisations, NGOs and others stakeholders by sensitizing them, building awarenss and including them in planning or conservation and restoration of wetlands and surrounding green spaces surrounding to maximize UHI reduction. Healthy wetlands with open water surfaces provide a cooling effect.","https://www.wetlands.org/casestudy/urban-wetlands-for-cooler-cities","9, 11, 13","Man-made development of urban wetlands, Cooling effect, Energy efficiency, Urban wetlands, Increasing resilience","Natural Cooling","Community Led","Europe; China; Pearl River Delta Metropolitan Region (PRD); Mexico; Lake Chalco and Xochimilco; Sri Lanka; Colombo","","https://acclabplatforms.blob.core.windows.net/pads/media/image217.png"
"175","Inspiring a Learning Community","Leading by example can be done by ensuring all city-controlled assets (i.e buildings, cooling equipment, and transport) are efficient and climate friendly. City governments must practice what they preach and showcase successful models.","https://coolcoalition.org/cooler-cities-cooler-people-cooler-planet-the-triple-win-of-sustainable-urban-cooling/","11","Climate-friendly and Efficient City Controlled Assets, Substantive actions to reduce vulnerability of heat, Heat prevention training","Behavioural","Local Government","New York City, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image218.png"
"176","Energy Communities Repository","It was launched by the European Commission, the Energy Communities Repository aims to support and monitor enegry communities activities across europe, within the framework of a just transition to climate neutrality that allows citizens to take control of energy consumption and production. In practice, the Energy Communities Repository will offer three main types of services: data collection and analysis, technical assistance, best practices and toolbox.","https://energy-cities.eu/project/energy-communities-repository","11","Community Projects, Energy communities, Incentive renewable energy","Innovative","Community Led","Europe","https://energy-communities-repository.ec.europa.eu/index_en","https://acclabplatforms.blob.core.windows.net/pads/media/image219.png"
"177","Reduce Normal Activity Levels During Extreme Hot Weather","A individuals metabolic heat production varies with fitness level, acclimatization, age and body type. People should be aware of the inherent risks of activity in the heat along with the symptoms of heat exhaustion and heat stroke. They should reduce, activity to a comfortable level and avoid beginning any new activities particularly outdoors during extreme heat. It is essential that people make sure they have easy access to cool areas, plenty of rest and proper hydration. Special precautions should be taken by parents, teachers, and sports coaches when temperatures are high to ensure that children and adolescents limit the intensity and duration of sports and have access to hydration and cool areas to rest.","https://www.frontiersin.org/articles/10.3389/fphys.2020.541483/full","3, 11","Urban Heat Health Risks, Coping with  heat illness risk","Behavioural","Community Led","USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image220.png"
"178","Academic Institutions","Academic Institutions can assist in leading research for local government to make evidence-based choices on heat thresholds, interventions and guidelines. Integrating information on heat risk management into urban planning courses, public health courses and disaster management course can also help to train the next generation of city leaders in key heat risk management concepts.","https://www.mdpi.com/2071-1050/12/19/7971","11","Academic Institutions Research, Assessing the occurrence of the urban heat island phenomenon, Providing information on potential mitigation solutions in the urban environment","Behavioural","Community Led","Rome, Italy","","https://acclabplatforms.blob.core.windows.net/pads/media/image221.png"
"179","Medieval Persia Cooling Method","Another blisteringly hot country, especially in the summer months, the Persians came up with an ingenous method of chanelling wind-catchers. A wind-catcher was a building specially designed to trap wind in hollowed out spaces and funnelling it down to the lower levels of a building, cooling off the inhabitants as it reduced the heat of the wind. It is also called Badgir, this is a wind tower a traditional Persian architectural element used for centuries for natural ventilation of buildings. Badgirs are still used today in a wide variety of ways. A badgir usually has at least two vertical channels. The city Yazd is home to a system of ancient engineering marvels that include an underground refrigeration structure called Yakhchal, an underground irrigation system called Qanats.","https://www.bbc.com/future/article/20210810-the-ancient-persian-way-to-keep-cool","9, 11, 13","Channeling Wind Catchers, Creative ingenuity, Natural ventilation, Effective cooling technique","Natural Cooling","Community Led","Ancient Persia; Yazd","","https://acclabplatforms.blob.core.windows.net/pads/media/image222.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image223.jpeg"
"180","School and Child Care Providers Measures","Schools and Childcare Providers can ensure that children in nurseries, kindergarten and daycare centres are safe during every hot weather. This involves ensuring premises have adequate cooling measures in place, avoiding strenous activities during the hottest part of the day, and educating children on actions to reduce heat risks, which they can then share at home.","https://www.abc.net.au/news/2017-02-10/is-there-a-school-policy-for-heatwaves/8257320","9, 11","Child-care, Adequate cooling measures, Heat-Resilient Schools, Passive cooling measures in schools","Behavioural","Community Led","Australia","ACT Government","https://acclabplatforms.blob.core.windows.net/pads/media/image224.png"
"181","Hanging Blackout Curtains","Hanging Blackout curtains is one of the cheapest, easiest solutions imaginable. Blackout curtains are also known as “thermal drapes” for a reason. They are ideal for blocking light and heat from windows that get strong sun. The best part is that contrary to popular belief, blackout curtains do not have to be black. They do not even have to be curtains. Blackout curtains can reduce the amount of heat which is transferred via the windows by as much as 24 percent, keeping the rooms cooler where they are installed and warmer in winter. This will allow efficient heating and cooling system and saving energy.","https://www.networx.com/article/will-blackout-curtains-keep-you-cooler-t#:~:text=Hanging%20blackout%20curtains%20is%20one,not%20have%20to%20be%20black.","9, 11","Blackout curtain usage, UV protection, Efficent energy ","Natural cooling","Community Led","Thailand","Blackout curtains in Thailand:

https://atmdecor.net/2017/07/05/why-are-blackout-curtains-popular-in-thailand/","https://acclabplatforms.blob.core.windows.net/pads/media/image225.png"
"182","Old Times Technique","Special attention was given to cooling techniques while constructing the buildings. Designs like pergolas, overhangs and large case-ments, mud houses were widely used to cool down the building especially in the time of no air conditioning contraptions.","https://www.re-thinkingthefuture.com/sustainable-architecture/a4190-how-to-keep-buildings-cool-without-air-conditioning/","9, 11","Modifying and adopting ancient cooling techniques, Energy-efficient","Technology","Community Led","Egypt","Why Egypt was so cool - thjis referes to ancient practices ","https://acclabplatforms.blob.core.windows.net/pads/media/image226.png,https://acclabplatforms.blob.core.windows.net/pads/media/image227.png"
"183","Geothermal Cooling","Geothermal cooling is a type of renewable energy system that moves heat from a building to below the earth's surface, using the ground like a heat sink. Systems based on geothermal energy cool in much the same way that they heat, moving hot air through a geothermal heat pump or through air-to-liquid transfer. Due to the mass of the earth below, geothermal systems can cool even intense sources of heat.","https://www.techtarget.com/whatis/definition/geothermal-cooling#:~:text=Geothermal%20cooling%20is%20a%20type,air%2Dto%2Dliquid%20transfer.","7, 9","Geothermal Cooling, Renewable energy system, Sustainable energy supply, Energy generated from natural resources","Innovative","Private","Iceland; Germany; El Salvador; New Zealand; Kenya; Phillipines","As a renewable resource geothermal covers a significant share of electricity demand in countries such as Iceland, El Salvador, New Zealand, Kenya and the Phillipines and meets more than 90% of heating demand in Iceland.","https://acclabplatforms.blob.core.windows.net/pads/media/image228.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image229.png"
"184","Developing an Innovative Digital Urban Climate Twin","The Twin is based on coupling several environment models that are tested and parametered with observed data to ensure that these are representative of Singapores urban climate center. Twin is a computer model, or digital urban climate twin of Singapore. This will allow policymakers to analyse the effectiveness of various heat mitigation measures before spending money on solutions that might not work. ","https://www.cares.cam.ac.uk/research/cooling-singapore/#:~:text=In%20the%20current%20phase%2C%20the,micro%2D%E2%80%8Bscale%20climate%20models.","13","Innovating Technology, Computer model, Digital urban climate twin, Analyzing effectiveness of various heat mitigation measures ","Innovative","Local Government","Singapore; Ahmedabad, India; Semarang, Indonesia","","https://acclabplatforms.blob.core.windows.net/pads/media/image230.png"
"185","Home Energy Efficient Design (HEED)","Developed at the University of Carlifonia, Los Angeles. Such tools as the HEED can help homeowners or designer to produce low-energy buildings. HEED shows graphics of how much energy and money and carbon you can save by trying various new design options or by making remodeling changes to a home. Furthermore, various other Passive Heating and Cooling options are available including ventilation, evaporative cooling, and passive solar heating. It is possible to add Photovoltaic Panels and Solar Hot Water Collectors. HEED can automatically download climate data for thousands of locations around the world.","https://www.sbse.org/resources/heed","9, 13","Home Energy Efficiency Design Tool, Energy Efficient,  Cooling options","Innovative","Private","California, USA ","Society of building science educators","https://acclabplatforms.blob.core.windows.net/pads/media/image231.png"
"186","Al Bahar Towers Responsive Facade","Aedas Architects designed a responsive facade which takes cultural cues from the “mashrabiya” a traditional Islamic lattice shading device. Completed in June 2012, the 145 meter towers was developed by computational design using parametric description for the geometry of the actuated facade panels. The screen operates as a curtain wall sitting two meters outside the buildings exterior on an independent frame. Each triangle is coated with fiberglass and programmed to respond to the movement of the sun as a way to reduce solar gain and glare. In the evening all the screens will close and it reduces solar gain by 50%.","https://www.archdaily.com/270592/al-bahar-towers-responsive-facade-aedas/","9, 11","Urban Cooling Infrastructure Design, Responsive facade, Architectural measures against heat waves, Energy eficciency, Using an old technique in a modern way","Technological","Private","Abu-Dhabi, UAE","Aedas ","https://acclabplatforms.blob.core.windows.net/pads/media/image232.png,https://acclabplatforms.blob.core.windows.net/pads/media/image233.png,https://acclabplatforms.blob.core.windows.net/pads/media/image234.png"
